#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 2570.000122 -1.253668 -0.041969 0.592556
 2575.000122 -2.820508 2.048851 0.077741
 2580.000123 -2.759717 2.594639 0.006345
 2585.000123 -1.134765 0.216274 0.061138
 2590.000123 -1.354745 0.698200 -0.021847
 2595.000123 -1.327430 0.997013 -0.104300
 2600.000123 -1.603138 1.680642 0.209911
 2605.000124 -1.573982 0.621183 0.097484
 2610.000124 -1.919498 0.111292 0.358371
 2615.000124 -1.736836 1.135496 0.131660
 2620.000124 -1.451717 1.802119 0.147664
 2625.000125 -1.542124 0.704507 -0.023803
 2630.000125 -1.316546 1.235384 -0.074326
 2635.000125 -1.108884 0.258478 0.067121
 2640.000125 -1.468413 0.743848 -0.020660
 2645.000126 -1.705787 1.239239 0.232411
 2650.000126 -1.218657 0.411369 0.127888
 2655.000126 -1.417529 0.745484 0.211343
 2660.000126 -1.339931 0.919981 -0.200506
 2665.000127 -2.731743 2.998622 0.065280
 2670.000127 -1.172498 -0.179727 0.193718
 2675.000127 -2.456334 2.605341 0.006033
 2680.000127 -2.036776 2.611699 -0.080354
 2685.000128 -1.602531 0.930422 0.253181
 2690.000128 -1.402524 0.940681 0.062880
 2695.000128 -1.534583 0.675511 0.152926
 2700.000128 -1.394443 1.302380 0.130192
 2705.000128 -1.178856 0.524267 0.134405
 2710.000129 -1.293137 0.770695 0.122967
 2715.000129 -1.295879 0.761215 -0.040536
 2720.000129 -1.317872 0.493969 0.283357
 2725.000129 -1.417168 0.982399 0.016666
 2730.000130 -1.251516 1.186727 -0.110440
 2735.000130 -1.361209 1.456491 -0.021301
 2740.000130 -1.856963 1.426977 -0.182259
 2745.000130 -1.431087 0.356549 0.165668
 2750.000131 -1.249902 0.480841 0.034977
 2755.000131 -2.142506 3.037541 -0.167840
 2760.000131 -1.620965 0.731018 0.001060
 2765.000131 -2.254969 2.408084 0.104213
 2770.000132 -2.043053 2.552826 0.131317
 2775.000132 -2.803859 2.904037 0.167364
 2780.000132 -1.452322 1.511547 0.068062
 2785.000132 -1.334377 1.126048 -0.053076
 2790.000133 -2.494381 2.665530 -0.138309
 2795.000133 -2.588854 3.030332 -0.091014
 2800.000133 -2.373090 3.032081 -0.232191
 2805.000133 -2.357089 2.752749 0.030604
 2810.000133 -2.579520 2.610792 0.175475
 2815.000134 -2.629956 2.819639 0.136463
 2820.000134 -2.286036 2.993923 -0.348905
 2825.000134 -2.728408 2.437468 0.244361
 2830.000134 -2.438445 2.980514 0.008535
 2835.000135 -2.433128 2.741772 -0.200098
 2840.000135 -2.377274 2.847107 -0.087810
 2845.000135 -2.797688 2.511668 -0.040831
 2850.000135 -1.403543 2.492157 -0.172329
 2855.000136 -1.432638 0.589981 0.007488
 2860.000136 -1.393790 1.453150 -0.032654
 2865.000136 -1.149201 0.665412 -0.101103
 2870.000136 -2.093105 0.609794 0.203249
 2875.000137 -1.880086 2.474986 0.005646
 2880.000137 -2.150311 2.734708 0.225811
 2885.000137 -2.702564 2.420224 -0.107994
 2890.000137 -1.545758 1.374597 -0.211946
 2895.000138 -1.510272 1.908029 -0.033459
 2900.000138 -1.782526 1.043712 -0.037817
 2905.000138 -1.413220 0.714664 -0.110694
 2910.000138 -1.377482 0.694380 0.064979
 2915.000138 -1.327834 1.281514 -0.069219
 2920.000139 -2.504465 2.804898 0.238748
 2925.000139 -2.124041 2.832339 0.094328
