#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 4300.000204 -1.236007 1.869384 -0.388040
 4310.000205 -2.411946 -2.981691 -0.428441
 4320.000205 -2.176097 2.466702 -0.083486
 4330.000206 -2.644345 2.990894 0.158850
 4340.000206 -2.838767 2.062800 -0.015763
 4350.000207 -2.240208 2.159142 -0.102068
 4360.000207 -2.426519 2.567337 0.288424
 4370.000208 -2.379396 2.638291 -0.037895
 4380.000208 -2.293732 2.618110 0.001091
 4390.000209 -1.346587 0.834565 -0.015282
 4400.000209 -2.476525 2.684127 0.135480
 4410.000209 -2.011041 2.870237 -0.221512
 4420.000210 -1.985665 2.455745 -0.328512
 4430.000210 -2.393081 2.945956 -0.364986
 4440.000211 -2.361287 2.524742 -0.233174
 4450.000211 -1.289990 1.019070 -0.125270
 4460.000212 -1.346155 0.509118 -0.087708
 4470.000212 -2.461806 2.745463 -0.356338
 4480.000213 -1.334048 1.184301 -0.142115
 4490.000213 -1.523555 0.944425 0.203725
 4500.000214 -1.138578 1.703849 -0.232751
 4510.000214 -1.162926 2.057282 0.233754
 4520.000215 -1.452562 2.853476 -0.267739
 4530.000215 -1.903132 2.856156 -0.140256
 4540.000216 -1.869860 2.387056 -0.143739
 4550.000216 -2.444783 3.021342 -0.703150
 4560.000217 -2.318612 1.737651 0.090286
 4570.000217 -1.622334 2.519734 -0.174501
 4580.000218 -1.013634 0.324452 -0.056050
 4590.000218 -1.074178 2.043782 -0.601225
 4600.000218 -1.493498 0.220164 0.692490
 4610.000219 -2.335240 1.518063 0.049367
 4620.000219 -2.157694 2.518052 -0.038084
 4630.000220 -1.408962 1.187163 -0.101193
 4640.000220 0.821197 0.281369 -0.567755
 4650.000221 1.112167 -0.299771 -0.059738
 4660.000221 -1.448876 0.552619 0.068112
 4670.000222 -2.497001 2.834693 0.050011
 4680.000222 0.862417 -0.509297 0.317035
 4690.000223 1.051394 -1.386684 0.181183
 4700.000223 1.217223 -1.319681 -0.043724
 4710.000224 -1.680178 2.931873 -0.304063
 4720.000224 3.068558 2.613984 0.022208
 4730.000225 -2.178616 2.058946 -0.342286
 4740.000225 -1.939981 2.614821 0.089556
 4750.000226 -2.881602 2.835451 0.305234
 4760.000226 -2.348169 -2.971607 -0.130695
 4770.000227 1.040818 -0.534230 0.412414
 4780.000227 0.906395 -0.177807 -0.091792
 4790.000228 1.083402 0.113354 0.162147
 4800.000228 -1.792576 0.737346 0.697795
 4810.000228 -1.468462 -0.385363 -0.039555
 4820.000229 -1.707244 2.960412 0.075395
 4830.000229 -1.196620 0.296070 0.222274
 4840.000230 -2.468447 2.821242 0.387065
 4850.000230 -2.345086 2.344567 -0.093829
 4860.000231 -2.645075 2.972498 -0.114182
 4870.000231 -1.480409 1.734081 -0.134381
 4880.000232 -1.454645 -0.052817 0.266944
 4890.000232 -1.740566 2.244127 0.023801
 4900.000233 -1.418037 2.713534 -0.372710
 4910.000233 -1.428426 0.792792 0.001936
 4920.000234 -2.682146 -3.089708 -0.008858
 4930.000234 -1.103117 -0.385327 -0.042572
 4940.000235 -1.855709 2.573406 0.019415
 4950.000235 -1.470548 1.309200 -0.145274
 4960.000236 -1.494285 1.663336 -0.004860
 4970.000236 -2.499479 2.666750 -0.175280
 4980.000237 -1.029819 0.973855 -0.247865
 4990.000237 -1.794308 1.748652 0.131360
 5000.000237 -1.232744 2.230396 -0.577701
 5010.000238 -2.389603 2.221550 -0.162008
 5020.000238 -2.300785 3.005780 0.038306
 5030.000239 -2.334582 2.887864 0.023120
 5040.000239 -2.340977 2.598810 -0.460598
 5050.000240 -1.505308 -0.107483 0.180919
 5060.000240 -2.189547 2.289607 -0.205144
 5070.000241 -2.688025 2.905384 -0.238585
 5080.000241 -2.274138 2.373234 -0.002098
 5090.000242 -1.031951 0.557564 0.132610
